"","Factor1","Factor2"
"0",-0.807828711006345,-0.0611501282932212
"1",-1.06895349558338,0.257115754466115
"2",-1.00949804535073,-0.118345817958825
"3",-0.966001764924292,-0.666271167445764
"4",-0.993786906030731,-0.553473866012597
"5",-1.00847313366665,-0.433369447580027
"6",-0.582091866590859,-0.134609439581061
"7",-0.658441554212532,0.204030248039624
"8",-0.678102828435033,0.454489787798357
"9",-0.592422248628665,-0.0265883071921228
"10",-0.629020022611848,0.162048375191773
"11",-0.596781708846624,-0.0471419067796566
"12",-0.513910990189263,-0.372700318100709
"13",-0.634550202846383,0.094313079883352
"14",-0.708532695230623,0.435263508236663
"15",-0.630151908374733,0.085094669709245
"16",-0.547861905918118,-0.276036843966617
"17",-0.718182819168139,0.515576685094859
"18",-0.597073780014861,0.0618461815500037
"19",-0.703182080703122,0.426013071558981
"20",-0.79440148336741,0.926648226892904
"21",-0.751353550676829,0.630502078624323
"22",-0.763801719473926,0.745178029693189
"23",-0.786385476338983,0.856754522086577
"24",-0.750248623463413,0.66648792032665
"25",-0.711126826175641,0.589503487514197
"26",-0.722737841281646,0.548628812667786
"27",-0.718058374851911,0.608199548792841
"28",-0.738580935000234,0.565137256964632
"29",-0.724923728305726,0.492523760953371
"30",-0.761500871745242,0.815382108111871
"31",-0.765650977025099,0.726431549576938
"32",-0.723537674083879,0.786588714448348
"33",-0.778168815681929,0.849064400288722
"34",-0.765547735884135,0.885265451448223
"35",-0.831535952630002,0.346677326265855
"36",-0.812169645372835,0.29135969737072
"37",-0.729248078039505,-0.0909538479489249
"38",-0.703259994771984,-0.205992182819877
"39",-0.588337066617185,-1.53046688513873
"40",-0.566024229847398,-1.67443205256035
"41",-0.816623385065062,-0.931304707626909
"42",-0.832447761616267,-0.835618972243979
"43",-0.835857869191103,-0.813171362006534
"44",-0.932881272004287,-0.372483892318691
"45",-0.948672669411177,-0.28520065845019
"46",-0.952872913529186,-0.241656055623562
"47",-1.0761063526405,0.316301558012959
"48",-1.11892400227966,0.614767681330698
"49",-0.992225008465299,-0.0587343456580144
"50",-0.775879950695497,-0.741630895394755
"51",-0.817544177490896,-0.612041846187511
"52",-0.691713282893015,-1.19789547449494
"53",-0.700913036336167,-1.1132529611575
"54",0.584225070415037,-2.09694179032537
"55",-0.462881479304177,-2.42997216938615
"56",-0.132689198759673,-2.42829604777713
"57",-0.379802561064118,-2.2586597464703
"58",-0.306295018371344,-1.4927062090331
"59",-0.403518692088654,-1.05148177536055
"60",-0.450371523126267,-0.816965236906619
"61",-0.542597761846199,-0.405391089133149
"62",-0.441057436971819,-0.946486110269908
"63",-0.339581783776698,-1.36303698749689
"64",-0.834481274314937,-1.32211265532186
"65",-0.0391784868442823,-2.16642361862259
"66",-0.0877611517098195,-1.88641454362571
"67",-0.167865628173646,-1.38678779331646
"68",-0.219382097414899,-1.10130318410445
"69",-0.201095423898288,-1.23855060317367
"70",-0.425608303000514,-0.979242271028782
"71",-0.46260957405782,-0.771250841235775
"72",-0.430448674351586,-0.958123458475482
"73",-0.425344790199002,-0.958999766059008
"74",0.0242828538990947,-0.962326459194808
"75",-0.0744993790694655,-0.517697371562309
"76",-0.181666238527254,-0.037988309279158
"77",-0.099649970514173,-0.398418737784092
"78",-0.0815409983058205,-0.462719769432433
"79",-0.0558889171459473,-0.58570816815177
"80",-0.555660761948472,-1.03115667751437
"81",-0.661957755792829,-0.553461038814715
"82",-0.55624029312538,-0.988840945151645
"83",-0.597751107471969,-0.794171352510267
"84",-0.915407045886152,-0.25079439227828
"85",-0.947923824530549,-0.160047529972375
"86",-0.930978595290391,-0.141901812528242
"87",-0.987718253362698,0.0559018084787709
"88",-1.00517889218334,0.392645572904716
"89",-0.941706477659496,0.104287799725371
"90",-0.972166141582755,0.308505628164827
"91",-0.993366004308571,0.392850953168428
"92",-0.7959817055468,0.0839344758230645
"93",-0.726038089771625,-0.226084827082656
"94",-0.870072337417273,0.423591186092618
"95",-0.867932657630934,-0.0963481950527747
"96",-0.914812136328088,0.161471743664426
"97",-0.914840958498821,-0.0441192957215734
"98",-0.806996922011501,-0.512240691551212
"99",-0.882758974272413,-0.113018542121993
"100",-0.335209491410289,0.313882090610562
"101",-0.303860403112901,0.174417221793247
"102",-0.301883086719071,0.47187001326453
"103",-0.366568664958508,0.537320580733603
"104",-0.385988356205449,0.603483488785308
"105",-0.428634289275061,0.822818606283198
"106",-0.413874827797592,0.779959634917841
"107",-0.388809854191121,0.633056814217722
"108",-0.40330906552667,0.666508629522593
"109",-0.387171374590575,0.63980126919006
"110",-0.270359845264728,0.124139057225155
"111",-0.104884180818475,0.341919079658971
"112",-0.165977366142544,0.685048758337576
"113",-0.163830918920752,0.679343171173524
"114",-0.132926788466272,0.500974458616715
"115",-0.138279232481281,0.605536984658349
"116",-0.0827470609393132,0.290374920986066
"117",-0.108265341899502,0.394803035125207
"118",-0.0947615722280105,0.417311157755401
"119",-0.0655792232134918,0.255646099153373
"120",-1.54530333465159,1.90464690445463
"121",-1.58504672308151,2.08122898012489
"122",-1.62128529816133,2.25988442002084
"123",-1.64930588555215,2.46371373760836
"124",-1.63281102862319,2.31522296168147
"125",-1.60907290154961,2.17491360211605
"126",-1.65561779260876,2.53101008218097
"127",-0.265528660991965,1.50859470037023
"128",-0.26493798729009,1.4614184495558
"129",-0.252858426794738,1.48287781487172
"130",-0.246478200908436,1.35586892663382
"131",-0.233869731486773,1.31187880314633
"132",-0.231486100887565,1.27160165970553
"133",-0.227690166596999,1.32154345590332
"134",-0.222260035395631,1.43205110535039
"135",-0.251380057793558,1.42429805887093
"136",-0.245731906107795,1.42247799429158
"137",-0.259681430458865,1.44014088493916
"138",-0.281313036451203,1.62045046622732
"139",-0.275292579281906,1.54013566672274
"140",-0.272418462050526,1.59967040600099
"141",-0.320663643236243,1.9184020405842
"142",-0.65435806209522,2.65298640356988
"143",-0.606619171148992,2.52143268370424
"144",-0.61557747100488,2.59924117723735
